b'eval:rf:rf_model_tc_100_d_15cluster_id:3:mse:',100,15,0.22176794801699054,tc:100:d:15
b'eval:rf:rf_model_tc_50_d_9cluster_id:3:mse:',50,9,0.22294324555545977,tc:50:d:9
b'eval:rf:rf_model_tc_100_d_3cluster_id:3:mse:',100,3,0.2280399439012211,tc:100:d:3
b'eval:rf:rf_model_tc_150_d_8cluster_id:3:mse:',150,8,0.22307401951909925,tc:150:d:8
b'eval:rf:rf_model_tc_12_d_15cluster_id:3:mse:',12,15,0.22176397363236675,tc:12:d:15
b'eval:rf:rf_model_tc_150_d_15cluster_id:3:mse:',150,15,0.22171605756836274,tc:150:d:15
b'eval:rf:rf_model_tc_9_d_6cluster_id:3:mse:',9,6,0.22477320003210038,tc:9:d:6
b'eval:rf:rf_model_tc_20_d_15cluster_id:3:mse:',20,15,0.22170689896592252,tc:20:d:15
b'eval:rf:rf_model_tc_30_d_8cluster_id:3:mse:',30,8,0.22300400064048692,tc:30:d:8
b'eval:rf:rf_model_tc_30_d_15cluster_id:3:mse:',30,15,0.22176847443982267,tc:30:d:15
b'eval:rf:rf_model_tc_75_d_30cluster_id:3:mse:',75,30,0.22108896625255667,tc:75:d:30
b'eval:rf:rf_model_tc_15_d_20cluster_id:3:mse:',15,20,0.22142478978566862,tc:15:d:20
b'eval:rf:rf_model_tc_12_d_8cluster_id:3:mse:',12,8,0.22329397020274583,tc:12:d:8
b'eval:rf:rf_model_tc_3_d_6cluster_id:3:mse:',3,6,0.22752308808666447,tc:3:d:6
b'eval:rf:rf_model_tc_100_d_6cluster_id:3:mse:',100,6,0.22426549327391648,tc:100:d:6
b'eval:rf:rf_model_tc_25_d_25cluster_id:3:mse:',25,25,0.22119270108657282,tc:25:d:25
b'eval:rf:rf_model_tc_100_d_9cluster_id:3:mse:',100,9,0.22272214766245108,tc:100:d:9
b'eval:rf:rf_model_tc_50_d_6cluster_id:3:mse:',50,6,0.2242942178281706,tc:50:d:6
b'eval:rf:rf_model_tc_25_d_12cluster_id:3:mse:',25,12,0.22205937248708432,tc:25:d:12
b'eval:rf:rf_model_tc_12_d_25cluster_id:3:mse:',12,25,0.22121131565950233,tc:12:d:25
b'eval:rf:rf_model_tc_125_d_12cluster_id:3:mse:',125,12,0.22210462826301078,tc:125:d:12
b'eval:rf:rf_model_tc_15_d_9cluster_id:3:mse:',15,9,0.22304905983730575,tc:15:d:9
b'eval:rf:rf_model_tc_3_d_3cluster_id:3:mse:',3,3,0.22884990403737407,tc:3:d:3
b'eval:rf:rf_model_tc_9_d_25cluster_id:3:mse:',9,25,0.2212594294236033,tc:9:d:25
b'eval:rf:rf_model_tc_3_d_30cluster_id:3:mse:',3,30,0.22118204613785167,tc:3:d:30
b'eval:rf:rf_model_tc_125_d_20cluster_id:3:mse:',125,20,0.22140928129598425,tc:125:d:20
b'eval:rf:rf_model_tc_75_d_8cluster_id:3:mse:',75,8,0.22318651689853866,tc:75:d:8
b'eval:rf:rf_model_tc_40_d_20cluster_id:3:mse:',40,20,0.22138867512503724,tc:40:d:20
b'eval:rf:rf_model_tc_30_d_25cluster_id:3:mse:',30,25,0.22121578244510914,tc:30:d:25
b'eval:rf:rf_model_tc_100_d_30cluster_id:3:mse:',100,30,0.22108382377860417,tc:100:d:30
b'eval:rf:rf_model_tc_3_d_15cluster_id:3:mse:',3,15,0.22183396743955736,tc:3:d:15
b'eval:rf:rf_model_tc_30_d_9cluster_id:3:mse:',30,9,0.2226177544103254,tc:30:d:9
b'eval:rf:rf_model_tc_15_d_8cluster_id:3:mse:',15,8,0.2231871573993545,tc:15:d:8
b'eval:rf:rf_model_tc_125_d_8cluster_id:3:mse:',125,8,0.2231036209876836,tc:125:d:8
b'eval:rf:rf_model_tc_25_d_15cluster_id:3:mse:',25,15,0.22169040915567376,tc:25:d:15
b'eval:rf:rf_model_tc_150_d_6cluster_id:3:mse:',150,6,0.22409851068034378,tc:150:d:6
b'eval:rf:rf_model_tc_40_d_30cluster_id:3:mse:',40,30,0.221102245921382,tc:40:d:30
b'eval:rf:rf_model_tc_9_d_9cluster_id:3:mse:',9,9,0.22263529579558533,tc:9:d:9
